[3] 3:53:10 PM: Log started for 'C:\Tosca_Projects\TOSCA_Workspaces\Harvey Norman\Harvey Norman.tws'
[3] 3:53:10 PM: Log level: 4
[3] 3:53:10 PM: Release: 12.0.0.19268
[3] 3:53:10 PM:  + DistributedExecutionAddIn: DistributedExecutionAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + ExploratoryTestingAssistant: ExploratoryTestingAssistantAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + ExploratoryTestingAssistantUI: ExploratoryTestingAssistantUIAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + IntegrationManagementAddIn: IntegrationManagementAddIn 12.0.0.1191 (19268)
    + : SAPSolutionManagerIntegration 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + OptIntAddIn: OptIntAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + RemoteControl: RemoteControlAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + Reporting: ReportingAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + ReportingUI: ReportingUIAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + RequirementsManagementAddIn: RequirementsManagement 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + RequirementsManagementUIAddIn: RequirementsManagementUI 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + SAPSolutionManagerAddIn: SAPSolutionManagerAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + SoapUiImporterAddIn: SoapUiImporterAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + TestCaseDesign: TestCaseDesign 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + ControlFlowDiagram: TestCaseVisualizationAddIn 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + XDefinitions: XDefinitions 12.0.0.1191 (19268)
[3] 3:53:11 PM:  + XDefinitionsUI: XDefinitionsUI 12.0.0.1191 (19268)
[3] 3:53:11 PM: Opened from Workspace File 'C:\Tosca_Projects\TOSCA_Workspaces\Harvey Norman\Harvey Norman.tws'
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:53:15 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:53:15 PM:  ShowStatusInfo: 'Ready'
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:53:15 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
